nama,provinsi,kabupaten,kecamatan,ketinggian,jenis gunung,status,akses,jarak,elevation gain,latitude,longitude
gunung bilontalo,gorontalo,pohuwato,buntulia,1717,extinct volcano,tidak aktif,buka,9000,700,0.892475,122.013784
gunung tilongkabila,gorontalo,bone bolango,suwawa timur,1535,non volcanic,tidak aktif,buka,25000,600,0.54103,123.213634
gunung boliyohuto,gorontalo,gorontalo,asparaga,1821,non volcanic,tidak aktif,buka,13000,1250,0.873848,122.488909
gunung tolinggula,gorontalo,gorontalo utara,tolinggula,1876,extinct volcano,tidak aktif,buka,20000,1300,1.009557,122.203384
gunung dulukapa,gorontalo,gorontalo,tolangohula,1822,extinct volcano,tidak aktif,buka,7000,650,0.871734,122.559487
gunung timbulon,gorontalo,pohuwato,taluditi,1744,extinct volcano,tidak aktif,buka,28000,1600,0.980237,121.848826
gunung pombatoa,gorontalo,pohuwato,dengilo,1686,extinct volcano,tidak aktif,buka,11000,900,0.889404,122.041997
gunung dapi,gorontalo,pohuwato,buntulia,1673,extinct volcano,tidak aktif,buka,18000,1200,0.701373,122.033073
gunung padasepayo,gorontalo,pohuwato,buntulia,1671,extinct volcano,tidak aktif,buka,9000,750,0.687175,122.034605
gunung bonggolo sapi,gorontalo,gorontalo utara,atinggola,1589,stratovolcano,aktif,buka,13000,1000,0.776222,123.158551
gunung buwano olowala,gorontalo,bone bolango,bulango ulu,1582,extinct volcano,tidak aktif,buka,11000,850,0.659704,123.264063
gunung mohenti,gorontalo,gorontalo utara,sumalata,1563,stratovolcano,aktif,tutup,22500,1400,0.920836,122.486974
gunung polalo dupoto,gorontalo,gorontalo utara,sumalata,1562,stratovolcano,tidak aktif,buka,11000,900,0.893171,122.420955
gunung malango,gorontalo,pahuwato,popayato,1539,extinct volcano,tidak aktif,buka,15000,1100,0.647312,121.248049
gunung lompobattang,sulawesi selatan,gowa,tompobulu,2892,stratovolcano,tidak aktif,buka,15900,1459,5.345897,119.933297
gunung bawakaraeng,sulawesi selatan,sinjai,sinjai ,2840,stratovolcano,tidak aktif,buka,24000,1800,5.316538,119.94376
gunung latimojong,sulawesi selatan,luwu,latimojong,3478,extinct volcano,tidak aktif,buka,13500,2298,3.384057,120.025711
gunung rantekombola,sulawesi selatan,tana toraja,mengkendek,3455,non volcanic,tidak aktif,buka,47500,2600,3.349229,120.019199
gunung balease,sulawesi selatan,luwu utara,mappedeceng,3016,non volcanic,tidak aktif,buka,32500,2200,2.404847,120.544259
gunung gandangdewata,sulawesi barat,mamasa,tabulahan,3037,non volcanic,tidak aktif,buka,45000,2300,2.747433,119.371294
gunung pelatang,sulawesi barat,mamuju,bonehau,2925,non volcanic,tidak aktif,buka,20000,1100,2.68187,119.513068
gunung mambuliling,sulawesi barat,mamasa,mamasa,2843,non volcanic,tidak aktif,buka,27500,1600,2.878273,119.348788
gunung tonggo,sulawesi barat,mamasa,tabulahan,2710,non volcanic,tidak aktif,buka,13500,1000,2.792495,119.402791
gunung tapeanlima,sulawesi barat,mamuju,karataun,2670,extinct volcano,tidak aktif,buka,16500,1150,2.716814,119.560251
